0,1,2,3,4,5,lat,lon
Piraeus †#,Πειραιάς[a],,Piraeus,27 February 1869[b][10][15],Interchange with Line 3 and the Athens Suburban Railway.,37.948020,23.643555
Neo Faliro #,Νέο Φάληρο,,Piraeus,9 August 1882[15][10]resited 1887,Interchange with the Athens Tram at Gipedo Karaiskaki (towards Piraeus) or Stadio Irinis & Filias (towards Glyfada).This station opened after the original route.,37.944960,23.665285
Moschato,Μοσχάτο,,Moschato-Tavros,9 August 1882[15],This station opened after the original route.,37.955250,23.680465
Kallithea,Καλλιθέα,,KallitheaMoschato-Tavros,1 July 1928[10],This station opened after the original route.,37.960395,23.697005
TavrosEleftherios Venizelos,ΤαύροςΕλευθέριος Βενιζέλος,,Moschato-Tavros,6 February 1989[10],This station opened after the original route.,37.962360,23.703330
Petralona,Πετράλωνα,,Athens,22 November 1954[10],This station opened after the original route.,37.968455,23.709115
Thissio,Θησείο,,Athens,27 February 1869[10],,37.976755,23.720130
Monastiraki #,Μοναστηράκι,,Athens,17 May 1895[c][10],"Interchange with Line 3.Some platform signs on Line 1 use the station's Katharevousa name, ""Monastirion"" (Greek: Μοναστήριον).[17]",37.975985,23.725390
Omonia #,Ομόνοια,,Athens,17 May 1895[d][10]resited 21 July 1930,Interchange with Line 2.,37.984030,23.727970
Victoria,Βικτώρια,,Athens,1 March 1948[10],,37.992960,23.730195
Attiki #,Αττική,,Athens,30 June 1949[d][10],Interchange with Line 2.,37.999495,23.722800
Aghios Nikolaos,Άγιος Νικόλαος,,Athens,12 February 1956[10],,38.006820,23.727635
Kato Patissia,Κάτω Πατήσια,,Athens,12 February 1956[10],,38.011505,23.728560
Aghios Eleftherios,Άγιος Ελευθέριος,,Athens,4 August 1961[10],This station opened after the extension to Ano Patisia.,38.019805,23.731630
Ano Patissia,Άνω Πατήσια,,Athens,12 February 1956[10],,38.023735,23.735990
Perissos,Περισσός,,Nea Ionia,14 March 1956[10],,38.032785,23.744700
Pefkakia,Πευκάκια,,Nea Ionia,5 July 1956[10],This station opened after the extension to Nea Ionia.,38.037040,23.750120
Nea Ionia,Νέα Ιωνία,,Nea Ionia,14 March 1956[10],,38.041430,23.754835
Iraklio,Ηράκλειο,,Irakleio,4 March 1957[10],,38.046200,23.766000
Irini,Ειρήνη,,Marousi,3 September 1982[10],This station opened after the extension to Kifissia.,38.043280,23.783310
Nerantziotissa[e] #,Νεραντζιώτισσα,,Marousi,6 August 2004[20][21],Interchange with the Athens Suburban Railway.This station opened after the extension to Kifissia.,38.045120,23.792945
Marousi,Μαρούσι,,Marousi,1 September 1957[10],This station opened after the extension to Kifissia.,38.056225,23.804915
KAT,ΚΑΤ,,KifissiaMarousi,27 March 1989[10],This station opened after the extension to Kifissia.,38.065955,23.804020
Kifissia †,Κηφισιά,,Kifissia,10 August 1957[10],,38.073225,23.808160
