regional_unit,school_district,prefecture,municipal_unit,district,municipality,school_type,school_subtype,school_code,school_name,phone_number,fax_number,email,area,street_address,zip_code,lat,lng,Ανθούπολη,Περιστέρι,Άγιος Αντώνιος,Σεπόλια,Αττική,Σταθμός Λαρίσης,Μεταξουργείο,Ομόνοια,Πανεπιστήμιο,Σύνταγμα,Ακρόπολη,Συγγρού–Φίξ,Νέος Κόσμος,Άγιος Ιωάννης,Δάφνη,Άγιος ΔημήτριοςΑλέξανδρος Παναγούλης,ΗλιούποληΓρηγόρης Λαμπράκης,Άλιμος,Αργυρούπολη,Ελληνικό,min_dist
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ,ΝΗΣΩΝ,ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ,ΚΥΘΗΡΩΝ,Γυμνάσια,Ημερήσιο Γυμνάσιο,5205010,ΓΥΜΝΑΣΙΟ ΚΥΘΗΡΩΝ,2736031148.0,2736038385,mail@gym-kythir.att.sch.gr,ΚΥΘΗΡΑ,ΚΥΘΗΡΑ - ΧΩΡΑ,80100,36.149391,22.989708,206.17126703835697,205.97447751200767,205.50647971947845,205.76230898740232,205.81485178730017,205.0992316195319,204.57375401765063,204.6317140631177,204.49576702664808,204.0987552996171,203.25675693978445,202.7102715457247,202.1785720509629,202.33009329912247,201.781779204848,201.0953317915944,200.2673710768705,199.2066935952709,197.8296987772772,196.9862989333878,196.9862989333878
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ,ΝΗΣΩΝ,ΠΟΡΟΥ,ΠΟΡΟΥ,ΠΟΡΟΥ,Γυμνάσια,Ημερήσιο Γυμνάσιο,5202010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΠΟΡΟΥ,2298022393.0,2298022393,mail@gym-porou.att.sch.gr,ΠΟΡΟΣ,ΠΑΠΑΔΟΠΟΥΛΟΥ 58,18020,37.500879,23.454596,58.83228461078169,58.69130396714201,58.28358796425862,58.70336703243498,58.88063997809965,58.192027765585664,57.692705799280574,57.86789461510551,57.83155470042643,57.51403192202125,56.62353448591866,56.06411193490287,55.61348688742199,55.87848417169605,55.43849309246821,54.89794491854791,54.259184471828405,53.30692711563884,52.14580862749688,51.46222602642919,51.46222602642919
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ,ΝΗΣΩΝ,ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ,Γυμνάσια,Ημερήσιο Γυμνάσιο,5207010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΣΠΕΤΣΩΝ,2298073815.0,2298073815,mail@gym-spets.att.sch.gr,ΣΠΕΤΣΩΝ,ΣΠΕΤΣΕΣ,18050,37.258708,23.159913,97.28626530850607,97.27149633550488,96.99170063939854,97.66923582177496,98.0107137222759,97.37133364082464,96.91492212757024,97.2169921408714,97.28207051998928,97.04585078118464,96.13044082644343,95.57145474410991,95.20495876416535,95.55990914987308,95.21359848714428,94.78790084077896,94.2818733729224,93.41078421819564,92.38343418945406,91.78569658682672,91.78569658682672
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ,ΝΗΣΩΝ,ΠΟΡΟΥ,ΠΟΡΟΥ,ΠΟΡΟΥ,Λύκεια,Ημερήσιο Γενικό Λύκειο,5252010,ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΟΡΟΥ,2298024128.0,2298025157,mail@lyk-porou.att.sch.gr,ΠΟΡΟΣ,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,18020,37.503479,23.457895,58.43179252398328,58.28843763852962,57.87838710401909,58.29305405786965,58.46709289437375,57.77769512429749,57.27765804568271,57.45030935118931,57.411977742232985,57.09291348750906,56.20310349188932,55.64379674050599,55.19158037811447,55.45470832959344,55.01290645261243,54.47011391969058,53.828725860532,52.87492503515524,51.7111453586874,51.02580982163205,51.02580982163205
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,ΑΡΓΥΡΟΥΠΟΛΗΣ,Ιδιωτικά Σχολεία,Ιδιωτικό Δημοτικό Σχολείο,7054004,1ο ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΑΙΩΝ,1ου ΔΗΜ. ΔΙΑΜΕΡ. ΑΘΗΝΑΙΩΝ,Αποκεντρωμένες Υπηρεσίες,"Κέντρο Διεπιστημονικής Αξιολόγησης, Συμβουλευτικής και Υποστήριξης (ΚΕ.Δ.Α.Σ.Υ.)",9000701,1ο ΚΕ.Δ.Α.Σ.Υ Α' ΑΘΗΝΑΣ,2106929636.0,,mail@1kesy-a.att.sch.gr,ΜΕΤΑΞΟΥΡΓΕΙΟ,ΧΙΟΥ 16-18,10438,37.987407,23.721504,4.529979436907951,3.843692611095648,3.094666711427481,1.789413286698868,1.2092176794838514,0.4837954303444216,0.1093268751341444,0.7946220166419754,1.4668608491015245,2.0174067145597427,2.101179044768612,2.423472485205725,3.126633470311151,3.485170931611731,4.271743054740587,5.264160326889984,6.462047883402007,7.489407498973596,9.049882084377234,10.06032327364558,0.1093268751341444
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,Αποκεντρωμένες Υπηρεσίες,"Κέντρο Διεπιστημονικής Αξιολόγησης, Συμβουλευτικής και Υποστήριξης (ΚΕ.Δ.Α.Σ.Υ.)",9000703,1ο ΚΕΔΑΣΥ Β΄ ΑΘΗΝΑΣ,2102797176.0,2102719857,1kesyvath@sch.gr,ΝΕΑ ΙΩΝΙΑ,ΗΡΑΚΛΕΙΟΥ 269,14231,38.04304,23.754063,7.474465747331662,7.147907225143195,7.109326253766252,6.089443780878256,5.682270727199399,6.338741994548872,6.823507544078236,6.674414652139404,6.815407357293421,7.254466339798314,8.058465185756026,8.59755125515361,9.159853473196192,9.1014013897004,9.750702511460156,10.594325444112291,11.645739050176152,12.779391749637751,14.351137576194338,15.34492866453216,5.682270727199399
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,Αποκεντρωμένες Υπηρεσίες,"Κέντρο Διεπιστημονικής Αξιολόγησης, Συμβουλευτικής και Υποστήριξης (ΚΕ.Δ.Α.Σ.Υ.)",9000705,1ο ΚΕΔΑΣΥ Γ ΑΘΗΝΑΣ,2105610995.0,2105613655,mail@1kesy-g.att.sch.gr,ΑΙΓΑΛΕΩ,ΘΗΒΩΝ 250,12241,37.98109,23.671554,4.2465113441698445,4.205848867437588,4.022924860498476,5.144911013577013,5.922245973456223,5.61279159626637,5.474950137229752,6.2554824033763055,6.804284013761012,7.11521670118315,6.531674558895847,6.313740266636672,6.727577741590979,7.423066479766123,7.971012205855405,8.717015077040527,9.674417841915044,10.279687223623768,11.456727406148616,12.29267964302193,4.022924860498476
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΛΙΜΟΥ,ΑΛΙΜΟΥ,ΑΛΙΜΟΥ,Αποκεντρωμένες Υπηρεσίες,"Κέντρο Διεπιστημονικής Αξιολόγησης, Συμβουλευτικής και Υποστήριξης (ΚΕ.Δ.Α.Σ.Υ.)",9000707,1ο Κ.Ε.Δ.Α.Σ.Υ. Δ΄ΑΘΗΝΑΣ,2131617491.0,,1kesydath@sch.gr,ΝΕΑ ΣΜΥΡΝΗ,ΣΥΓΓΡΟΥ 165,17121,37.952561,23.711996,6.969731056529644,6.397024446946198,5.640799547970026,5.113302408553877,4.895187860858643,4.162747046886091,3.619456709710251,3.664310509026744,3.6560756970312513,3.454612152481576,2.5337156957713542,1.9919940100985416,1.8826881082649056,2.5298473298880304,2.8178552531361025,3.416051766579926,4.333181418077336,4.991495167129861,6.307085063917953,7.231567919203544,1.8826881082649056
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Π/ΘΜΙΑΣ ΚΑΙ Δ/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ,Αποκεντρωμένες Υπηρεσίες,"Κέντρο Διεπιστημονικής Αξιολόγησης, Συμβουλευτικής και Υποστήριξης (ΚΕ.Δ.Α.Σ.Υ.)",9000709,1ο ΚΕ.Δ.Α.Σ.Υ. ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,2106028050.0,,mail@1kesy-anatol.att.sch.gr,ΚΟΡΩΠΙ,ΑΔΡΙΑΝΟΥ 26,19400,37.905457,23.868385,22.6990742564472,22.01917814200084,21.33145822905897,19.806247712020657,18.786470087459055,18.54131135309365,18.335294987732063,17.49209487994448,16.821406582010727,16.322340296859053,16.686109470038485,16.8271441813399,16.398071161041262,15.700285729352112,15.191924158615652,14.582931560951677,13.910239869696772,13.830381699442526,13.608921312350406,13.502748700298543,13.502748700298543
